x,y
0.4824,-1.61996
0.4832,-1.62125
0.484,-1.62255
0.4848,-1.62385
0.4856,-1.62515
0.4864,-1.62645
0.4872,-1.62775
0.488,-1.62905
0.4888,-1.63036
0.4896,-1.63166
0.4904,-1.63297
0.4912,-1.63428
0.492,-1.63558
0.4928,-1.63689
0.4936,-1.6382
0.4944,-1.63951
0.4952,-1.64083
0.496,-1.64214
0.4968,-1.64345
0.4976,-1.64477
0.4984,-1.64609
0.4992,-1.6474
0.5,-1.64872
0.5008,-1.65004
0.5016,-1.65136
0.5024,-1.65268
0.5032,-1.65401
0.504,-1.65533
0.5048,-1.65665
0.5056,-1.65798
0.5064,-1.65931
0.5072,-1.66063
0.508,-1.66196
0.5088,-1.66329
0.5096,-1.66463
0.5104,-1.66596
0.5112,-1.66729
0.512,-1.66863
0.5128,-1.66996
0.5136,-1.6713
0.5144,-1.67263
0.5152,-1.67397
0.516,-1.67531
0.5168,-1.67665
0.5176,-1.678
0.5184,-1.67934
0.5192,-1.68068
0.52,-1.68203
0.5208,-1.68337
0.5216,-1.68472
0.5224,-1.68607
0.5232,-1.68742
0.524,-1.68877
0.5248,-1.69012
0.5256,-1.69147
0.5264,-1.69283
0.5272,-1.69418
0.528,-1.69554
0.5288,-1.69689
0.5296,-1.69825
0.5304,-1.69961
0.5312,-1.70097
0.532,-1.70233
0.5328,-1.7037
0.5336,-1.70506
0.5344,-1.70642
0.5352,-1.70779
0.536,-1.70916
0.5368,-1.71052
0.5376,-1.71189
0.5384,-1.71326
0.5392,-1.71463
0.54,-1.71601
0.5408,-1.71738
0.5416,-1.71875
0.5424,-1.72013
0.5432,-1.72151
0.544,-1.72288
0.5448,-1.72426
0.5456,-1.72564
0.5464,-1.72702
0.5472,-1.72841
0.548,-1.72979
0.5488,-1.73117
0.5496,-1.73256
0.5504,-1.73395
0.5512,-1.73533
0.552,-1.73672
0.5528,-1.73811
0.5536,-1.7395
0.5544,-1.7409
0.5552,-1.74229
0.556,-1.74368
0.5568,-1.74508
0.5576,-1.74648
0.5584,-1.74787
0.5592,-1.74927
0.56,-1.75067
0.5608,-1.75207
0.5616,-1.75348
0.5624,-1.75488
0.5632,-1.75628
0.564,-1.75769
0.5648,-1.7591
0.5656,-1.7605
0.5664,-1.76191
0.5672,-1.76332
0.568,-1.76473
0.5688,-1.76615
0.5696,-1.76756
0.5704,-1.76897
0.5712,-1.77039
0.572,-1.77181
0.5728,-1.77323
0.5736,-1.77464
0.5744,-1.77606
0.5752,-1.77749
0.576,-1.77891
0.5768,-1.78033
0.5776,-1.78176
0.5784,-1.78318
0.5792,-1.78461
0.58,-1.78604
0.5808,-1.78747
0.5816,-1.7889
0.5824,-1.79033
0.5832,-1.79176
0.584,-1.7932
0.5848,-1.79463
0.5856,-1.79607
0.5864,-1.79751
0.5872,-1.79894
0.588,-1.80038
0.5888,-1.80182
0.5896,-1.80327
0.5904,-1.80471
0.5912,-1.80615
0.592,-1.8076
0.5928,-1.80905
0.5936,-1.81049
0.5944,-1.81194
0.5952,-1.81339
0.596,-1.81484
0.5968,-1.8163
0.5976,-1.81775
0.5984,-1.81921
0.5992,-1.82066
0.6,-1.82212
0.6008,-1.82358
0.6016,-1.82504
0.6024,-1.8265
0.6032,-1.82796
0.604,-1.82942
0.6048,-1.83089
0.6056,-1.83235
0.6064,-1.83382
0.6072,-1.83529
0.608,-1.83675
0.6088,-1.83822
0.6096,-1.8397
0.6104,-1.84117
0.6112,-1.84264
0.612,-1.84412
0.6128,-1.84559
0.6136,-1.84707
0.6144,-1.84855
0.6152,-1.85003
0.616,-1.85151
0.6168,-1.85299
0.6176,-1.85447
0.6184,-1.85596
0.6192,-1.85744
0.62,-1.85893
0.6208,-1.86042
0.6216,-1.8619
0.6224,-1.86339
0.6232,-1.86489
0.624,-1.86638
0.6248,-1.86787
0.6256,-1.86937
0.6264,-1.87086
0.6272,-1.87236
0.628,-1.87386
0.6288,-1.87536
0.6296,-1.87686
0.6304,-1.87836
0.6312,-1.87987
0.632,-1.88137
0.6328,-1.88288
0.6336,-1.88438
0.6344,-1.88589
0.6352,-1.8874
0.636,-1.88891
0.6368,-1.89042
0.6376,-1.89193
0.6384,-1.89345
0.6392,-1.89496
0.64,-1.89648
0.6408,-1.898
0.6416,-1.89952
0.6424,-1.90104
0.6432,-1.90256
0.644,-1.90408
0.6448,-1.90561
0.6456,-1.90713
0.6464,-1.90866
0.6472,-1.91018
0.648,-1.91171
0.6488,-1.91324
0.6496,-1.91477
0.6504,-1.91631
0.6512,-1.91784
0.652,-1.91938
0.6528,-1.92091
0.6536,-1.92245
0.6544,-1.92399
0.6552,-1.92553
0.656,-1.92707
0.6568,-1.92861
0.6576,-1.93015
0.6584,-1.9317
0.6592,-1.93325
0.66,-1.93479
0.6608,-1.93634
0.6616,-1.93789
0.6624,-1.93944
0.6632,-1.94099
